net,length_um
_19700_,1.69901mm
_18511_,1.34752mm
net745,1.07933mm
net746,1.04712mm
net749,1.03535mm
net754,1.00789mm
_19039_,1.00349mm
net774,994.29µm
_20088_,984.24µm
_18211_,976.62µm
net756,951.42µm
net526,922.36µm
net732,920.71µm
net751,910.61µm
net605,908.37µm
net701,900.64µm
net752,896.66µm
sq_enq_id\[0\],895.06µm
_07348_,893.52µm
_03994_,879.58µm
net750,877.96µm
_19280_,875.14µm
_18357_,874.36µm
_06916_,870.06µm
_07229_,868.8µm
_07150_,867.355µm
clknet_2_3_0_clk,852.57µm
_17280_,851.22µm
net725,849.47µm
_06989_,848.46µm
_07452_,842.58µm
net726,836.36µm
_18534_,836.12µm
clknet_0_clk,834.92µm
net736,823.45µm
net773,821.8µm
net738,820.92µm
net194,811.255µm
net699,803.24µm
clk,800.67µm
net160,799.13µm
net601,799.1µm
net777,794.2µm
net744,791.1µm
_07692_,790.48µm
_07533_,790.025µm
_19308_,786.03µm
net508,785.84µm
net753,782.82µm
net772,779.11µm
_06808_,778.72µm
net598,778.48µm
_20706_,776.87µm
_06958_,772.34µm
_07988_,772.02µm
net747,767.39µm
_06817_,762.205µm
_06987_,755.85µm
net748,754.785µm
net604,754.41µm
clknet_2_0_0_clk,754.02µm
net197,748.36µm
clknet_2_1_0_clk,746.27µm
net734,743.365µm
net195,740.305µm
clknet_2_2_0_clk,734.295µm
_18291_,733.54µm
_18223_,730.015µm
net170,727.21µm
net187,726.88µm
_06841_,726.41µm
net727,725.26µm
net740,716.06µm
_19851_,715.41µm
_18471_,705.215µm
net776,704.74µm
net695,702.56µm
net742,699.01µm
net198,692.265µm
net203,690.135µm
net174,681.8µm
net594,681.57µm
_03968_,677.48µm
net873,675.91µm
_06960_,675.06µm
_18599_,674.52µm
_06978_,670.34µm
net176,668.16µm
net171,665.24µm
net457,663.435µm
_06970_,660.525µm
net741,659.67µm
_07706_,653.545µm
net444,649.8µm
_19695_,648.88µm
net193,648.315µm
net177,647.765µm
sq_enq_counter\[0\],646.94µm
_18247_,644.76µm
net188,644.01µm
_04356_,643.16µm
net597,641.66µm
_06992_,640.17µm
net603,638.06µm
_19661_,635.07µm
net586,634.145µm
net600,634.045µm
net599,634.035µm
net390,633.065µm
_18214_,632.93µm
net775,629.35µm
net192,627.72µm
_18284_,626.57µm
net191,624.81µm
net432,622.69µm
_17657_,621.26µm
_03510_,619.53µm
net185,616.98µm
net456,612.83µm
net694,606.45µm
net164,605.3µm
net770,604.86µm
_07002_,603.465µm
net409,601.83µm
_11495_,597.845µm
_18227_,597.37µm
net206,597.11µm
net208,595.56µm
net391,595.125µm
net778,593.86µm
_07072_,590.8µm
net403,585.76µm
net290,582.73µm
net595,582.54µm
net758,582.27µm
net179,581.64µm
net205,578.22µm
_07025_,577.16µm
net1046,576.28µm
net196,575.51µm
net182,575.41µm
net743,574.88µm
_13785_,573.43µm
net183,572.715µm
net158,572.07µm
net298,571.87µm
_19279_,570.05µm
_17555_,566.3µm
net289,565.89µm
_06914_,565.595µm
_11680_,560.7µm
_17448_,560.18µm
_06901_,559.53µm
_19890_,556.45µm
_04222_,556.35µm
net700,553.64µm
sq_enq_counter\[4\],551.38µm
net393,551.22µm
net459,550.87µm
_18275_,549.2µm
net124,547.64µm
net175,546.77µm
net402,543.685µm
_11598_,542.47µm
_18740_,542.41µm
_19904_,542.36µm
net204,541.995µm
net96,541.695µm
net389,541.2µm
_20542_,541.19µm
net157,540.5µm
_06793_,540.27µm
clknet_5_1__leaf_clk,539.92µm
net169,539.57µm
_18549_,539.05µm
net364,538.55µm
_17490_,538.165µm
net345,537.91µm
net420,535.435µm
net400,535.11µm
net163,534.25µm
net342,533.64µm
net189,533.165µm
net728,531.91µm
net1306,531.63µm
_07168_,530.89µm
_13789_,530.2µm
net291,529.81µm
net297,529.64µm
_17409_,529.05µm
net415,528.76µm
net356,528µm
net240,527.69µm
net709,525.12µm
_14108_,523.65µm
net404,523.25µm
net299,522.545µm
net394,521.27µm
_17500_,521.14µm
net288,518.94µm
net319,518.54µm
_07037_,517.175µm
net387,515.905µm
net133,515.695µm
_18212_,515.08µm
net363,514.925µm
net436,514.655µm
_17410_,512.75µm
net405,512.71µm
net325,511.7µm
net358,511.645µm
_18871_,510µm
_06780_,508.38µm
net735,507.32µm
net445,507.12µm
net316,507.07µm
net446,506.59µm
_07059_,505.15µm
net593,504.03µm
_17579_,503.42µm
net388,502.86µm
_17594_,501.97µm
_06965_,501.85µm
net437,501.615µm
_07046_,499.87µm
_18283_,498.89µm
net225,498.85µm
_06912_,498.64µm
net347,498.59µm
_07297_,498.25µm
net304,498.25µm
_07743_,497.58µm
clknet_5_10__leaf_clk,496.78µm
net320,496.605µm
_06923_,495.065µm
net367,494.5µm
net241,494.39µm
net162,494.05µm
net167,493.76µm
_07007_,493.685µm
tick_pulse_r,492.81µm
net184,492.725µm
_19163_,491.82µm
net587,490.76µm
net467,489.11µm
_07302_,489.01µm
_17369_,488.68µm
net349,488.465µm
net891,488.45µm
net435,487.925µm
net226,487.19µm
_17336_,486.875µm
net771,486.72µm
_14105_,486.21µm
net783,486.2µm
scan_parallel\[1\],485.98µm
net686,485.11µm
sq_enq_counter\[20\],484.22µm
net229,484.04µm
net613,483.65µm
net361,482.77µm
clknet_5_31__leaf_clk,482.36µm
_17591_,481.875µm
_17627_,481.645µm
_18285_,481.625µm
_17621_,480.32µm
_06946_,480.16µm
net392,479.415µm
_17316_,478.83µm
net351,477.795µm
_17479_,477.34µm
_17845_,476.48µm
_17622_,475.73µm
_07177_,475.49µm
_17631_,475.34µm
_18209_,473.96µm
scan_parallel\[0\],473.93µm
net350,473.81µm
_13813_,472.48µm
sq_enq_counter\[16\],471.8µm
net295,471.6µm
_17393_,471.4µm
clknet_5_2__leaf_clk,470.58µm
_17348_,470.34µm
_11923_,470.11µm
_17564_,470.08µm
_19446_,468.96µm
_17337_,468.735µm
_07246_,468.7µm
_07285_,468.41µm
_17628_,468.125µm
_17400_,467.87µm
_17603_,467.37µm
net485,466.67µm
net302,466.515µm
_20092_,465.93µm
_17505_,465.795µm
net233,465.75µm
_17342_,464.635µm
_10357_,463.975µm
_10490_,462.44µm
net592,462.25µm
_17427_,460.71µm
_10885_,459.58µm
_17613_,459.205µm
_19190_,458.77µm
_20504_,458.66µm
net606,458.28µm
_17504_,458.25µm
_19448_,456.71µm
_18226_,455.97µm
net255,455.83µm
net218,455.54µm
net180,455.51µm
net697,455.105µm
net365,454.96µm
net369,454.91µm
_17351_,454.56µm
_17384_,453.79µm
net172,453.12µm
_07588_,453.05µm
_10498_,452.94µm
net1140,452.62µm
_07136_,452.48µm
_17832_,452.06µm
_11736_,451.94µm
net431,450.98µm
_07189_,450.52µm
net232,448.42µm
net315,448.16µm
_17581_,447.84µm
net330,447.805µm
_17362_,447.58µm
_17344_,447.47µm
net173,447.3µm
_11646_,447.26µm
net890,447.04µm
_17352_,446.785µm
_17361_,446.235µm
net579,445.65µm
_17632_,445.015µm
net406,444.38µm
net362,444µm
net231,443.775µm
_07199_,443.56µm
sq_enq_counter\[18\],443.12µm
clknet_5_30__leaf_clk,442.975µm
net542,441.94µm
net254,441.81µm
clknet_5_9__leaf_clk,441.24µm
net534,440.44µm
net401,439.855µm
net357,438.45µm
_03402_,438.16µm
_10538_,437.58µm
_17654_,437.565µm
net200,437.36µm
_17680_,437.3µm
_06952_,437.2µm
clknet_5_0__leaf_clk,437.18µm
_20091_,436.24µm
net567,435.32µm
clknet_5_5__leaf_clk,434.97µm
_17408_,434.55µm
_11554_,434.48µm
_19603_,434.45µm
_17404_,434.26µm
_17669_,434.05µm
_17434_,433.835µm
net119,433.51µm
_18246_,433.01µm
net634,432.82µm
net733,432.81µm
_17590_,432.6µm
net548,432.39µm
clknet_5_27__leaf_clk,432.36µm
net224,431.61µm
_15597_,431.52µm
_18639_,431.41µm
_18221_,430.48µm
net639,429.86µm
net590,428.58µm
_07232_,428.12µm
_17662_,427.225µm
_18219_,427.13µm
net889,426.86µm
_17335_,425.765µm
_10354_,425.52µm
net631,425.22µm
net633,424.48µm
_15594_,424.06µm
_17355_,423.56µm
_17618_,423.505µm
_18454_,423.48µm
net141,423.3µm
net344,423.035µm
net306,422.975µm
sq_enq_id\[3\],422.18µm
_05030_,421.59µm
_17649_,421.165µm
net543,421.16µm
net544,420.31µm
net705,420.23µm
net781,419.86µm
net373,419.81µm
net507,418.75µm
net531,418.66µm
net538,418.54µm
net648,418.47µm
net539,417.45µm
_18294_,417.43µm
net602,417.36µm
clknet_5_3__leaf_clk,417.18µm
net541,417.04µm
_06776_,416.01µm
net719,415.94µm
_07141_,415.72µm
net632,415.41µm
_04174_,415.3µm
net637,415.14µm
_19671_,415.08µm
_10121_,415.06µm
_06944_,414.685µm
net696,414.64µm
clknet_5_11__leaf_clk,414.45µm
net659,413.41µm
_12698_,413.02µm
net630,412.9µm
_14102_,411.78µm
net537,411.6µm
net540,411.59µm
u_pq.cell_valid_w\[0\]\[0\],411.555µm
_07672_,411.42µm
net359,410.715µm
_07156_,410.32µm
net566,409.58µm
_12650_,408.54µm
net564,408.35µm
_14090_,408.26µm
net729,408.02µm
pq_flush,407.84µm
net155,407.65µm
net341,406.415µm
clknet_5_25__leaf_clk,405.92µm
_04064_,405.72µm
net535,405.54µm
_07759_,405.32µm
net98,405.14µm
net368,404.885µm
net533,404.64µm
_17461_,403.965µm
net311,403.555µm
net146,403.01µm
clknet_5_29__leaf_clk,402.68µm
net714,402.44µm
_17686_,402.055µm
net532,402.04µm
net640,401.88µm
_17368_,401.23µm
_05254_,401.15µm
_07746_,400.84µm
_10521_,399.34µm
_11777_,399.3µm
_17641_,399.21µm
net627,399.1µm
net570,398.46µm
_17821_,398.18µm
net629,397.87µm
net676,397.86µm
net692,397.23µm
net159,397.17µm
_10499_,396.9µm
_06939_,396.85µm
net117,396.77µm
net530,396.75µm
_03352_,396.27µm
net638,396.1µm
_08400_,395.9µm
_07252_,395.02µm
_18295_,394.98µm
clknet_5_19__leaf_clk,394.57µm
_17689_,394.46µm
net412,394.22µm
net645,394.22µm
_17775_,394.1µm
net675,393.86µm
clknet_5_22__leaf_clk,393.82µm
net628,393.66µm
net737,393.36µm
net636,393.24µm
net138,392.78µm
_11825_,392.77µm
_17898_,392.68µm
_17459_,392.26µm
net684,392.25µm
_07201_,392.22µm
net664,392.21µm
net217,391.6µm
net755,391.32µm
